Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
HARBOUR GLORY 維港頌,100000.0,4.0,2.5,121.7, North Point/Fortress Hill, Hong Kong Island
Ruby Court 嘉麟閣,100000.0,2.0,2.0,164.9, Peak/South, Hong Kong Island
Kam Yuen Mansion 錦園大廈,100000.0,4.0,3.0,232.26, Mid Level Central, Hong Kong Island
Jadebeach Villa 華翠海灣別墅,100000.0,4.0,3.0,173.91, Peak/South, Hong Kong Island
The Hamptons 鴻圖台,100000.0,3.0,2.5,136.47, Kowloon Tong/Beacon Hill, Kowloon
Altro 懿山,100000.0,4.0,2.0,111.48, Kennedy Town/Sai Yin Pun, Hong Kong Island
Clovelly Court 嘉富麗苑,100000.0,,1.0,165.83, Mid Level Central, Hong Kong Island
Dynasty Court 帝景園,99000.0,3.0,2.0,142.14, Mid Level Central, Hong Kong Island
The Leighton Hill 禮頓山,98000.0,3.0,2.0,115.2, Happy Valley/Mid Level East, Hong Kong Island
ST. JOAN COURT 勝宗大廈,98000.0,3.0,1.0,158.96, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,98000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,98000.0,3.0,2.0,162.3, Peak/South, Hong Kong Island
Deepdene 蒲苑,98000.0,4.0,2.0,192.96, Peak/South, Hong Kong Island
High West 西苑,98000.0,4.0,3.0,226.4, Peak/South, Hong Kong Island
29-31 BISNEY ROAD 碧荔道29-31號,98000.0,4.0,5.0,194.72, Mid Level West, Hong Kong Island
Josephine Court 秀樺閣,98000.0,4.0,3.0,153.57, Wanchai/Causeway Bay, Hong Kong Island
3 Repulse Bay Road 淺水灣道3號,98000.0,4.0,2.0,164.16, Peak/South, Hong Kong Island
Ridge Court 冠園,98000.0,3.0,2.0,165.37, Peak/South, Hong Kong Island
The Mount Austin The Mount Austin,98000.0,4.0,3.0,146.32, Peak/South, Hong Kong Island
Banyan Villas 屋苑樓宇,97000.0,3.0,,208.38, Peak/South, Hong Kong Island
Banyan Villas 屋苑樓宇,97000.0,3.0,,232.26, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,96134.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
High West 西苑,96000.0,4.0,3.0,226.4, Peak/South, Hong Kong Island
Tavistock II 騰皇居 II,96000.0,3.0,2.0,119.1, Mid Level Central, Hong Kong Island
Gordon Terrace 歌敦臺,95090.0,3.0,3.0,133.04, Peak/South, Hong Kong Island
Tam Gardens 譚亦衡樓,95000.0,3.0,2.0,290.32, Peak/South, Hong Kong Island
The Drake The Drake,95000.0,4.0,4.0,323.86, Tuen Mun, New Territories West
Dynasty Court 帝景園,95000.0,3.0,2.0,144.37, Mid Level Central, Hong Kong Island
The Repulse Bay 影灣園,95000.0,3.0,2.0,99.31, Peak/South, Hong Kong Island
Deepdene 蒲苑,95000.0,4.0,2.0,192.96, Peak/South, Hong Kong Island
MY CENTRAL -,95000.0,3.0,2.0,92.53, Sheung Wan/Central/Admiralty, Hong Kong Island
Residence Bel-air* 貝沙灣,95000.0,4.0,4.0,165.37, Bel-Air, Hong Kong Island
Ruby Court 嘉麟閣,95000.0,3.0,2.0,164.9, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,93524.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,93524.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
Dynasty Court 帝景園,93000.0,3.0,3.0,143.81, Mid Level Central, Hong Kong Island
Magazine Heights 馬己仙大廈,93000.0,4.0,2.0,194.82, Mid Level Central, Hong Kong Island
Stanley Knoll STANLEY KNOLL,92000.0,3.0,3.0,208.57, Peak/South, Hong Kong Island
Repulse Bay Apartments 淺水灣花園大廈,92000.0,3.0,2.0,207.17, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,92000.0,3.0,3.0,218.42, Peak/South, Hong Kong Island
Caravelle Villa Caravelle Villa,92000.0,5.0,2.0,233.74, Kowloon Tong/Beacon Hill, Kowloon
Stanley Knoll STANLEY KNOLL,92000.0,3.0,3.0,208.57, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,90379.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
Bamboo Grove 竹林苑,90000.0,3.0,2.0,148.09, Wanchai/Causeway Bay, Hong Kong Island
La Casa Bella 翠湖別墅,90000.0,4.0,3.0,171.13, Sai Kung, New Territories East
WELLESLEY 帝匯豪庭,90000.0,4.0,4.5,158.12, Mid Level Central, Hong Kong Island
Clovelly Court 嘉富麗苑,90000.0,3.0,1.0,147.16, Mid Level Central, Hong Kong Island
