Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
MARINELLA 深湾九號,55000000.0,4.0,3.0,128.95, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,55000000.0,2.0,2.0,125.88, Aberdeen/Ap Lei Chau, Hong Kong Island
SEYMOUR 懿峰,55000000.0,3.0,3.0,129.88, Mid Level West, Hong Kong Island
AZURA 蔚然,55000000.0,4.0,4.0,148.46, Mid Level West, Hong Kong Island
duplicate 干諾道西118號,56074000.0,,1.0,226.5, Sheung Wan/Central/Admiralty, Hong Kong Island
MARINELLA 深湾九號,54000000.0,4.0,4.0,123.75, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,53800000.0,3.0,2.0,128.76, Aberdeen/Ap Lei Chau, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,53800000.0,4.0,2.0,190.36, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,53000000.0,3.0,3.0,136.38, Peak/South, Hong Kong Island
37 REPULSE BAY ROAD 淺水灣道37號,52800000.0,3.0,2.0,111.39, Peak/South, Hong Kong Island
Belcher's Hill 寶雅山,52800000.0,4.0,3.0,132.2, Kennedy Town/Sai Yin Pun, Hong Kong Island
THE MORGAN 敦皓,52120000.0,3.0,3.0,121.05, Mid Level West, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,52000000.0,3.0,3.0,150.69, Peak/South, Hong Kong Island
Valais 天巒,52000000.0,3.0,3.5,231.05, Sheung Shui/Fanling, New Territories East
SEYMOUR 懿峰,52000000.0,4.0,3.0,160.91, Mid Level West, Hong Kong Island
AZURA 蔚然,52000000.0,4.0,3.0,148.46, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,52000000.0,3.0,2.0,116.87, Aberdeen/Ap Lei Chau, Hong Kong Island
AZURA 蔚然,52000000.0,3.0,3.0,120.5, Mid Level West, Hong Kong Island
31 Robinson Road 羅便臣道31號,52000000.0,4.0,3.0,166.58, Mid Level West, Hong Kong Island
The Masterpiece 名鑄,51800000.0,3.0,2.0,136.2, Tsimshatsui/Jordan, Kowloon
The Belcher's 寶翠園,51000000.0,4.0,4.0,134.43, Kennedy Town/Sai Yin Pun, Hong Kong Island
MARINELLA 深湾九號,51000000.0,3.0,3.0,117.8, Aberdeen/Ap Lei Chau, Hong Kong Island
AZURA 蔚然,51000000.0,2.0,3.0,120.03, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,51000000.0,4.0,3.0,142.51, Aberdeen/Ap Lei Chau, Hong Kong Island
Residence Bel-air* 貝沙灣,50880000.0,3.0,2.5,126.81, Bel-Air, Hong Kong Island
Valais 天巒,50000000.0,3.0,4.0,190.27, Sheung Shui/Fanling, New Territories East
HONG KONG PARKVIEW 陽明山莊,50000000.0,3.0,1.0,176.52, Peak/South, Hong Kong Island
Residence Bel-air* 貝沙灣,50000000.0,3.0,3.0,121.33, Bel-Air, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,50000000.0,3.0,2.0,140.56, Peak/South, Hong Kong Island
MARINELLA 深湾九號,50000000.0,3.0,2.0,116.96, Aberdeen/Ap Lei Chau, Hong Kong Island
Valais 天巒,50000000.0,4.0,5.0,263.94, Sheung Shui/Fanling, New Territories East
MARINELLA 深湾九號,50000000.0,3.0,2.0,117.8, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,50000000.0,4.0,3.0,128.76, Aberdeen/Ap Lei Chau, Hong Kong Island
One Pacific Heights 盈峰一號,50000000.0,3.0,2.0,119.94, Sheung Wan/Central/Admiralty, Hong Kong Island
SEYMOUR 懿峰,50000000.0,4.0,2.0,160.72, Mid Level West, Hong Kong Island
AZURA 蔚然,50000000.0,3.0,3.0,121.52, Mid Level West, Hong Kong Island
